fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Player Props,player_props,Romelu Lukaku Anytime Goalscorer,yes,,3.05,True,IMG_8075.jpg,2026-06-30 11:50 -05:00,SUPER BOOST
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Player Props,player_props,Jérémy Doku Player Total Assists Over 0.5,over,0.5,4.05,True,IMG_8075.jpg,2026-06-30 11:50 -05:00,SUPER BOOST
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,1.5,3.2,True,IMG_8075.jpg,2026-06-30 11:50 -05:00,SUPER BOOST (1st Half)
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Combo,combo,Belgium + Over 2.5 Total Goals,home_over,2.5,4.3,True,IMG_8075.jpg,2026-06-30 11:50 -05:00,SUPER BOOST
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Correct Score,correct_score,1-1,draw,,6.65,True,IMG_8075.jpg,2026-06-30 11:50 -05:00,SUPER BOOST
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,1.5,3.25,True,IMG_8076.jpg,2026-06-30 11:50 -05:00,SUPER BOOST (Senegal)
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Match Result,match_result,Belgium,home,,2.28,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Match Result,match_result,Draw,draw,,3.25,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Match Result,match_result,Senegal,away,,3.5,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,To Qualify,to_qualify,Belgium,home,,1.63,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,To Qualify,to_qualify,Senegal,away,,2.29,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,2.5,2.12,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,2.5,1.72,False,IMG_8076.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,0.5,1.07,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,0.5,8.6,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,1.5,1.37,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,1.5,3.15,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,3.5,3.8,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,3.5,1.27,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,4.5,8.1,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,4.5,1.08,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Over,over,5.5,17.0,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
2026-07-01-belgium-senegal,Belgium vs Senegal,2026-07-01T15:00:00-05:00,Betsson,Total Goals,total_goals,Under,under,5.5,1.02,False,IMG_8077.jpg,2026-06-30 11:50 -05:00,standard
