fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Resultado del partido,match_result,1,home,,1.47,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Resultado del partido,match_result,X,draw,,4.65,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Resultado del partido,match_result,2,away,,6.60,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Bosnia y Herzegovina o Empate,home_draw,,1.13,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Bosnia y Herzegovina o Catar,home_away,,1.19,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Catar o Empate,draw_away,,2.77,false,IMG_7556.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 2.5,over,2.5,1.65,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 2.5,under,2.5,2.25,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 1.5,over,1.5,1.22,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 1.5,under,1.5,4.40,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 3.5,over,3.5,2.57,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 3.5,under,3.5,1.52,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 0.5,over,0.5,1.04,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 0.5,under,0.5,11.25,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 4.5,over,4.5,4.45,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 4.5,under,4.5,1.21,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 5.5,over,5.5,8.00,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 5.5,under,5.5,1.08,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 6.5,over,6.5,13.00,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 6.5,under,6.5,1.03,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Ambos equipos anotan,btts,Sí,yes,,1.80,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Ambos equipos anotan,btts,No,no,,1.95,false,IMG_7557.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -4,home,-4,15.50,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -4,draw,-4,10.00,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +4,away,+4,1.09,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -3,home,-3,7.90,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -3,draw,-3,6.40,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +3,away,+3,1.26,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -2,home,-2,3.95,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -2,draw,-2,4.35,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +2,away,+2,1.67,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -1,home,-1,2.20,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -1,draw,-1,3.75,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +1,away,+1,2.77,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... +1,home,+1,1.13,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +1,draw,+1,7.50,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
