fixture_id,kickoff_lima,kickoff_utc,match,group,venue,venue_timezone,schedule_source
2026-06-22-arg-aut,2026-06-22T12:00:00-05:00,2026-06-22T17:00:00Z,Argentina vs Austria,J,"Dallas Stadium, Arlington, Texas, USA",America/Chicago,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-22-fra-irq,2026-06-22T16:00:00-05:00,2026-06-22T21:00:00Z,France vs Iraq,I,"Philadelphia Stadium, Philadelphia, Pennsylvania, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-22-nor-sen,2026-06-22T19:00:00-05:00,2026-06-23T00:00:00Z,Norway vs Senegal,I,"New York New Jersey Stadium, East Rutherford, New Jersey, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-22-jor-alg,2026-06-22T22:00:00-05:00,2026-06-23T03:00:00Z,Jordan vs Algeria,J,"San Francisco Bay Area Stadium, Santa Clara, California, USA",America/Los_Angeles,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-23-por-uzb,2026-06-23T12:00:00-05:00,2026-06-23T17:00:00Z,Portugal vs Uzbekistan,K,"Houston Stadium, Houston, Texas, USA",America/Chicago,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-23-eng-gha,2026-06-23T15:00:00-05:00,2026-06-23T20:00:00Z,England vs Ghana,L,"Boston Stadium, Foxborough, Massachusetts, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-23-pan-cro,2026-06-23T18:00:00-05:00,2026-06-23T23:00:00Z,Panama vs Croatia,L,"Toronto Stadium, Toronto, Canada",America/Toronto,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-23-col-cod,2026-06-23T21:00:00-05:00,2026-06-24T02:00:00Z,Colombia vs Congo DR,K,"Guadalajara Stadium, Guadalajara, Mexico",America/Mexico_City,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-sui-can,2026-06-24T14:00:00-05:00,2026-06-24T19:00:00Z,Switzerland vs Canada,B,"BC Place Vancouver, Vancouver, Canada",America/Vancouver,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-bih-qat,2026-06-24T14:00:00-05:00,2026-06-24T19:00:00Z,Bosnia and Herzegovina vs Qatar,B,"Seattle Stadium, Seattle, Washington, USA",America/Los_Angeles,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-sco-bra,2026-06-24T17:00:00-05:00,2026-06-24T22:00:00Z,Scotland vs Brazil,C,"Miami Stadium, Miami Gardens, Florida, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-mar-hai,2026-06-24T17:00:00-05:00,2026-06-24T22:00:00Z,Morocco vs Haiti,C,"Atlanta Stadium, Atlanta, Georgia, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-rsa-kor,2026-06-24T20:00:00-05:00,2026-06-25T01:00:00Z,South Africa vs South Korea,A,"Monterrey Stadium, Guadalupe, Nuevo Leon, Mexico",America/Monterrey,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-24-cze-mex,2026-06-24T20:00:00-05:00,2026-06-25T01:00:00Z,Czechia vs Mexico,A,"Mexico City Stadium, Mexico City, Mexico",America/Mexico_City,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-ecu-ger,2026-06-25T15:00:00-05:00,2026-06-25T20:00:00Z,Ecuador vs Germany,E,"New York New Jersey Stadium, East Rutherford, New Jersey, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-cur-civ,2026-06-25T15:00:00-05:00,2026-06-25T20:00:00Z,Curacao vs Ivory Coast,E,"Philadelphia Stadium, Philadelphia, Pennsylvania, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-tun-ned,2026-06-25T18:00:00-05:00,2026-06-25T23:00:00Z,Tunisia vs Netherlands,F,"Kansas City Stadium, Kansas City, Missouri, USA",America/Chicago,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-jpn-swe,2026-06-25T18:00:00-05:00,2026-06-25T23:00:00Z,Japan vs Sweden,F,"Dallas Stadium, Arlington, Texas, USA",America/Chicago,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-par-aus,2026-06-25T21:00:00-05:00,2026-06-26T02:00:00Z,Paraguay vs Australia,D,"San Francisco Bay Area Stadium, Santa Clara, California, USA",America/Los_Angeles,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-25-tur-usa,2026-06-25T21:00:00-05:00,2026-06-26T02:00:00Z,Turkiye vs USA,D,"Los Angeles Stadium, Inglewood, California, USA",America/Los_Angeles,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-26-nor-fra,2026-06-26T14:00:00-05:00,2026-06-26T19:00:00Z,Norway vs France,I,"Boston Stadium, Foxborough, Massachusetts, USA",America/New_York,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-26-sen-irq,2026-06-26T14:00:00-05:00,2026-06-26T19:00:00Z,Senegal vs Iraq,I,"Toronto Stadium, Toronto, Canada",America/Toronto,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-26-uru-esp,2026-06-26T19:00:00-05:00,2026-06-27T00:00:00Z,Uruguay vs Spain,H,"Guadalajara Stadium, Guadalajara, Mexico",America/Mexico_City,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
2026-06-26-cpv-ksa,2026-06-26T19:00:00-05:00,2026-06-27T00:00:00Z,Cape Verde vs Saudi Arabia,H,"Houston Stadium, Houston, Texas, USA",America/Chicago,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center
