date,team_a,team_b,score_a,score_b,group,source_result,accessed_at
2026-06-11,MEX,RSA,2,0,A,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-11,KOR,CZE,2,1,A,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-12,CAN,BIH,1,1,B,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-12,USA,PAR,4,1,D,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-13,SUI,QAT,1,1,B,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-13,BRA,MAR,1,1,C,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-13,SCO,HAI,1,0,C,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-14,AUS,TUR,2,0,D,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-14,GER,CUR,7,1,E,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-14,NED,JPN,2,2,F,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-14,CIV,ECU,1,0,E,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-14,SWE,TUN,5,1,F,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-15,ESP,CPV,0,0,H,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-15,BEL,EGY,1,1,G,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-15,KSA,URU,1,1,H,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-15,IRN,NZL,2,2,G,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-16,FRA,SEN,3,1,I,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-16,NOR,IRQ,4,1,I,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-16,ARG,ALG,3,0,J,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-17,AUT,JOR,3,1,J,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-17,POR,COD,1,1,K,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-17,ENG,CRO,4,2,L,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-17,GHA,PAN,1,0,L,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-17,COL,UZB,3,1,K,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-18,CZE,RSA,1,1,A,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-18,SUI,BIH,4,1,B,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-18,CAN,QAT,6,0,B,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-18,MEX,KOR,1,0,A,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-19,USA,AUS,2,0,D,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-19,MAR,SCO,1,0,C,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-19,BRA,HAI,3,0,C,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-19,PAR,TUR,1,0,D,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-20,NED,SWE,5,1,F,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-20,GER,CIV,2,1,E,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-20,ECU,CUR,0,0,E,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-21,JPN,TUN,4,0,F,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-21,ESP,KSA,4,0,H,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-21,BEL,IRN,0,0,G,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-21,URU,CPV,2,2,H,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-21,EGY,NZL,3,1,G,https://www.sbnation.com/soccer/1117513/world-cup-schedule-2026-how-to-watch-every-match-scores-and-more,2026-06-21T23:30:00-05:00
2026-06-22,ARG,AUT,2,0,J,https://apnews.com/article/3ad605618a23e1d71fc539d8c596e33e,2026-06-24T13:41:19-05:00
2026-06-22,FRA,IRQ,3,0,I,https://www.theguardian.com/football/live/2026/jun/22/france-v-iraq-world-cup-2026-live-updates,2026-06-24T13:41:19-05:00
2026-06-22,NOR,SEN,3,2,I,https://www.theguardian.com/football/live/2026/jun/23/norway-v-senegal-world-cup-2026-live,2026-06-24T13:41:19-05:00
2026-06-22,JOR,ALG,1,2,J,https://www.theguardian.com/football/live/2026/jun/23/fifa-world-cup-2026-live-jordan-v-algeria-updates-jor-v-alg-group-j-match-score-latest,2026-06-24T13:41:19-05:00
