date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2018-06-14,WC_2018_GROUP,1.0,RUS,KSA,1850.0,1680.0,A,5,0,1.45,4.5,7.5
2018-06-15,WC_2018_GROUP,1.0,EGY,URU,1720.0,1900.0,B,0,1,4.5,3.4,1.85
2018-06-15,WC_2018_GROUP,1.0,MAR,IRN,1820.0,1750.0,B,0,1,1.55,3.8,6.5
2018-06-15,WC_2018_GROUP,1.0,POR,ESP,1950.0,2060.0,D,3,3,4.5,3.6,1.8
2018-06-16,WC_2018_GROUP,1.0,ARG,ISL,2040.0,1780.0,D,1,1,1.3,5.5,11.0
2018-06-16,WC_2018_GROUP,1.0,CRO,NGA,1860.0,1740.0,A,2,0,1.85,3.4,4.5
2018-06-16,WC_2018_GROUP,1.0,FRA,AUS,2000.0,1780.0,A,2,1,1.35,5.0,9.0
2018-06-16,WC_2018_GROUP,1.0,PER,DEN,1780.0,1920.0,B,0,1,4.0,3.3,1.95
2018-06-17,WC_2018_GROUP,1.0,BRA,SUI,2000.0,1860.0,D,1,1,1.45,4.2,7.5
2018-06-17,WC_2018_GROUP,1.0,CRC,SRB,1760.0,1820.0,B,0,1,3.2,3.1,2.4
2018-06-17,WC_2018_GROUP,1.0,GER,MEX,2020.0,1800.0,B,0,1,1.4,4.5,8.0
2018-06-18,WC_2018_GROUP,1.0,BEL,PAN,1920.0,1680.0,A,3,0,1.25,6.0,12.0
2018-06-18,WC_2018_GROUP,1.0,SWE,KOR,1820.0,1780.0,A,1,0,2.1,3.2,3.6
2018-06-18,WC_2018_GROUP,1.0,TUN,ENG,1700.0,1980.0,B,1,2,7.0,4.2,1.5
2018-06-19,WC_2018_GROUP,1.0,COL,JPN,1880.0,1800.0,B,1,2,1.75,3.5,5.0
2018-06-19,WC_2018_GROUP,1.0,POL,SEN,1840.0,1760.0,B,1,2,2.0,3.3,4.0
2018-06-19,WC_2018_GROUP,1.0,RUS,EGY,1855.5,1714.8,A,3,1,1.65,3.6,5.5
2018-06-20,WC_2018_GROUP,1.0,DEN,AUS,1926.2,1775.6,D,1,1,1.95,3.3,4.2
2018-06-20,WC_2018_GROUP,1.0,IRN,ESP,1762.0,2056.9,B,0,1,9.0,4.5,1.35
2018-06-20,WC_2018_GROUP,1.0,POR,MAR,1953.1,1808.0,A,1,0,1.85,3.4,4.5
2018-06-20,WC_2018_GROUP,1.0,URU,KSA,1905.2,1674.5,A,1,0,1.45,4.2,8.0
2018-06-21,WC_2018_GROUP,1.0,ARG,CRO,2033.7,1866.7,B,0,3,1.95,3.3,4.2
2018-06-21,WC_2018_GROUP,1.0,FRA,PER,2004.4,1773.8,A,1,0,1.4,4.5,8.0
2018-06-22,WC_2018_GROUP,1.0,BRA,CRC,1996.2,1751.7,A,2,0,1.3,5.5,11.0
2018-06-22,WC_2018_GROUP,1.0,NGA,ISL,1733.3,1786.3,A,2,0,2.6,3.2,2.8
2018-06-22,WC_2018_GROUP,1.0,SRB,SUI,1828.3,1863.8,B,1,2,2.7,3.1,2.8
2018-06-23,WC_2018_GROUP,1.0,BEL,TUN,1924.0,1696.7,A,5,2,1.25,6.0,12.0
2018-06-23,WC_2018_GROUP,1.0,GER,SWE,2004.4,1828.9,A,2,1,1.55,4.0,6.5
2018-06-23,WC_2018_GROUP,1.0,KOR,MEX,1771.1,1815.6,B,1,2,3.6,3.2,2.1
2018-06-24,WC_2018_GROUP,1.0,ENG,PAN,1983.3,1676.0,A,6,1,1.15,8.0,17.0
2018-06-24,WC_2018_GROUP,1.0,JPN,SEN,1812.3,1772.3,D,2,2,3.2,3.1,2.4
2018-06-24,WC_2018_GROUP,1.0,POL,COL,1827.7,1867.7,B,0,3,2.8,3.1,2.7
2018-06-25,WC_2018_GROUP,1.0,ESP,MAR,2060.0,1802.0,D,2,2,1.55,4.0,6.5
2018-06-25,WC_2018_GROUP,1.0,IRN,POR,1758.9,1959.1,D,1,1,6.5,4.0,1.55
2018-06-25,WC_2018_GROUP,1.0,KSA,EGY,1670.3,1708.6,A,2,1,3.0,3.1,2.5
2018-06-25,WC_2018_GROUP,1.0,URU,RUS,1909.4,1861.6,A,3,0,1.75,3.5,5.0
2018-06-26,WC_2018_GROUP,1.0,AUS,PER,1779.7,1769.6,B,0,2,3.4,3.3,2.15
2018-06-26,WC_2018_GROUP,1.0,DEN,FRA,1922.1,2008.6,D,0,0,4.5,3.4,1.85
2018-06-26,WC_2018_GROUP,1.0,ISL,CRO,1774.8,1881.1,B,1,2,4.5,3.4,1.85
2018-06-26,WC_2018_GROUP,1.0,NGA,ARG,1744.8,2019.2,B,1,2,5.0,3.6,1.7
2018-06-27,WC_2018_GROUP,1.0,KOR,GER,1762.4,2009.7,A,2,0,8.0,4.5,1.4
2018-06-27,WC_2018_GROUP,1.0,MEX,SWE,1824.3,1823.5,B,0,3,2.6,3.2,2.8
2018-06-27,WC_2018_GROUP,1.0,SRB,BRA,1819.3,2000.1,B,0,2,5.5,3.8,1.6
2018-06-27,WC_2018_GROUP,1.0,SUI,CRC,1872.8,1747.8,D,2,2,1.75,3.5,5.0
