date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2023-09-07,FRIENDLY,0.6,PAR,PER,1500.0,1500.0,D,0,0,1.83,3.29,4.69
2023-09-08,FRIENDLY,0.6,ARG,ECU,1500.0,1500.0,A,1,0,1.33,4.67,10.78
2023-09-09,FRIENDLY,0.6,URU,CHI,1500.0,1500.0,A,3,1,1.63,3.6,5.87
2023-09-12,FRIENDLY,0.6,ECU,URU,1490.0,1510.0,A,2,1,1.96,3.06,4.43
2023-09-13,FRIENDLY,0.6,CHI,COL,1490.0,1500.0,D,0,0,3.3,3.01,2.33
2023-09-13,FRIENDLY,0.6,PER,BRA,1500.0,1500.0,B,0,1,12.81,5.53,1.24
2023-10-12,FRIENDLY,0.6,COL,URU,1499.7,1499.4,D,2,2,2.11,3.17,3.62
2023-10-13,FRIENDLY,0.6,ARG,PAR,1510.0,1500.0,A,1,0,1.22,5.82,13.89
2023-10-13,FRIENDLY,0.6,CHI,PER,1490.3,1490.0,A,2,0,1.67,3.52,5.63
2023-10-18,FRIENDLY,0.6,ECU,COL,1500.6,1499.7,D,0,0,2.04,3.04,4.06
2023-10-18,FRIENDLY,0.6,PER,ARG,1480.0,1519.7,B,0,2,10.34,4.38,1.36
2023-10-18,FRIENDLY,0.6,URU,BRA,1499.4,1510.0,A,2,0,4.15,3.41,1.89
2023-11-17,FRIENDLY,0.6,ARG,URU,1528.6,1509.7,B,0,2,1.57,3.67,6.42
2023-11-17,FRIENDLY,0.6,CHI,PAR,1500.3,1490.3,D,0,0,1.7,3.37,5.51
2023-11-17,FRIENDLY,0.6,COL,BRA,1499.7,1499.7,A,2,1,3.57,3.14,2.15
2023-11-21,FRIENDLY,0.6,ECU,CHI,1500.5,1500.0,A,1,0,1.59,3.6,6.13
2023-11-21,FRIENDLY,0.6,JOR,KSA,1500.0,1500.0,B,0,2,3.57,3.04,2.06
2023-11-21,FRIENDLY,0.6,PAR,COL,1490.6,1509.7,B,0,1,3.32,3.0,2.3
2023-11-22,FRIENDLY,0.6,BRA,ARG,1489.7,1518.0,B,0,1,2.46,3.05,3.0
2024-06-07,FRIENDLY,0.6,NGA,RSA,1500.0,1500.0,D,1,1,1.58,3.59,5.7
2024-06-08,FRIENDLY,0.6,CMR,CPV,1500.0,1500.0,A,4,1,1.84,3.13,4.45
2024-06-11,FRIENDLY,0.6,KSA,JOR,1510.0,1490.0,B,1,2,1.84,3.31,4.08
2024-09-06,WC_QUALIFIER,0.85,ARG,CHI,1527.2,1490.0,A,3,0,1.31,4.78,11.0
2024-09-07,WC_QUALIFIER,0.85,BRA,ECU,1480.5,1510.5,A,1,0,1.35,4.58,9.47
2024-09-07,WC_QUALIFIER,0.85,PER,COL,1471.1,1519.2,D,1,1,5.34,3.05,1.82
2024-09-07,WC_QUALIFIER,0.85,URU,PAR,1520.3,1481.1,D,0,0,1.51,3.83,6.98
2024-09-10,WC_QUALIFIER,0.85,COL,ARG,1517.8,1536.2,A,2,1,2.82,2.83,2.79
2024-09-10,WC_QUALIFIER,0.85,ECU,PER,1499.7,1472.5,A,1,0,1.39,4.1,9.73
2024-09-11,WC_QUALIFIER,0.85,PAR,BRA,1482.2,1491.4,A,1,0,7.42,3.93,1.48
2024-10-10,WC_QUALIFIER,0.85,ECU,PAR,1508.9,1492.5,D,0,0,1.52,3.57,7.79
2024-10-10,WC_QUALIFIER,0.85,JOR,KOR,1500.6,1500.0,B,0,2,4.31,3.31,1.79
2024-10-10,WC_QUALIFIER,0.85,KSA,JPN,1499.4,1500.0,B,0,2,5.31,3.77,1.57
2024-10-11,WC_QUALIFIER,0.85,CHI,BRA,1481.1,1481.1,B,1,2,6.35,3.68,1.57
2024-10-12,WC_QUALIFIER,0.85,PER,URU,1463.3,1519.2,A,1,0,4.66,3.08,1.9
2024-10-15,WC_QUALIFIER,0.85,COL,CHI,1528.3,1471.1,A,4,0,1.33,4.63,10.06
2024-10-15,WC_QUALIFIER,0.85,IRN,QAT,1500.0,1500.0,A,4,1,1.67,3.56,4.74
2024-10-15,WC_QUALIFIER,0.85,JPN,AUS,1510.0,1500.0,D,1,1,1.33,4.6,7.94
2024-10-15,WC_QUALIFIER,0.85,KOR,IRQ,1510.0,1500.0,A,3,2,1.46,3.66,7.33
2024-10-16,WC_QUALIFIER,0.85,BRA,PER,1491.1,1474.9,A,4,0,1.19,6.2,16.46
2024-10-16,WC_QUALIFIER,0.85,URU,ECU,1507.6,1508.4,D,0,0,1.74,3.2,5.51
2024-11-14,WC_QUALIFIER,0.85,AUS,KSA,1500.3,1489.4,D,0,0,1.93,3.05,4.09
2024-11-14,WC_QUALIFIER,0.85,IRQ,JOR,1490.3,1490.6,D,0,0,2.13,2.88,3.6
2024-11-14,WC_QUALIFIER,0.85,PAR,ARG,1493.0,1525.6,A,2,1,4.85,3.13,1.85
2024-11-16,WC_QUALIFIER,0.85,PER,CHI,1465.4,1462.7,D,0,0,2.21,2.73,4.01
2024-11-16,WC_QUALIFIER,0.85,URU,COL,1507.6,1536.7,A,3,2,2.21,3.03,3.5
2024-11-19,WC_QUALIFIER,0.85,COL,ECU,1525.9,1508.4,B,0,1,1.69,3.35,5.63
