fixture_id,kickoff_lima,kickoff_utc,team_a,team_b,elo_a_baseline,elo_b_baseline,elo_a_updated,elo_b_updated,form_games_a,form_games_b,form_points_a,form_points_b,form_gd_a,form_gd_b,form_adjust_a,form_adjust_b,host_adjust_a,host_adjust_b,rest_days_a,rest_days_b,mu_total,lambda_a,lambda_b,p_win_a,p_draw,p_win_b,source_elo,source_form,source_schedule,research_confidence,research_sources,research_team_news,research_injuries,research_motivation,research_weather,freshness_status
2026-06-27-pan-eng,2026-06-27T16:00:00-05:00,2026-06-27T21:00:00Z,PAN,ENG,1640.0,2024.0,1600.734,2024.271,2,2,0,4,-2,2,0.0,0.0,0.0,0.0,4,4,2.75,0.48087,2.42795,0.04448158,0.23393562,0.7215828,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,high,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/21/england-declan-rice-hamstring-nerve-pain-arsenal-schedule-world-cup | https://www.theguardian.com/football/2026/jun/20/rashford-and-rice-give-england-boost-for-ghana-but-saka-set-for-bench-again | https://nypost.com/2026/06/16/sports/englands-tino-livramento-out-of-world-cup-in-injury-blow/ | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide,"Panama lost 1-0 to Ghana in their opener. England beat Croatia 4-2, with Harry Kane scoring twice. Their June 23 second matches had not occurred by the cutoff, so final-round team news was unavailable.",England: Tino Livramento was ruled out of the tournament with a calf injury and replaced by Trevoh Chalobah. Bukayo Saka was managing an Achilles issue; Declan Rice said he was fit despite neural pain in his upper hamstring/lower back; Marcus Rashford had returned to training after a minor muscular issue. Panama injuries were unavailable. Suspensions for June 27 were unavailable because of the June 23 matches.,"Group L as of June 21: England 3 pts, GD +2; Panama 0 pts, GD -1. Both had June 23 matches, so England's qualification/rotation incentive and Panama's survival requirement for June 27 were unavailable at the cutoff.","New York New Jersey Stadium is the open-air MetLife Stadium in East Rutherford, with a 17:00 local kickoff. Heat, humidity and thunderstorms are relevant seasonal risks, but a reliable match-time forecast was unavailable by the cutoff.",current_snapshot
2026-06-27-cro-gha,2026-06-27T16:00:00-05:00,2026-06-27T21:00:00Z,CRO,GHA,1825.0,1710.0,1818.512,1755.483,2,2,3,4,-1,1,0.0,0.0,0.0,0.0,4,4,2.75,1.58448,1.18915,0.41222685,0.31547082,0.27230233,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,medium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/2026/jun/21/thomas-partey-england-ghana-handshake | https://www.bavarianfootballworks.com/fifa-world-cup/218962/harry-kane-over-the-moon-to-reach-10-world-cup-goals-with-england | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide,"Croatia lost 4-2 to England in their opener; Ghana beat Panama 1-0. Both had an intervening June 23 match after the cutoff, so form, cards and lineup developments entering June 27 were unavailable.",Croatia: no match-specific confirmed injury or suspension was found by the cutoff. Ghana: Thomas Partey missed the Canada-based opener because he was denied entry but was reported eligible for the June 23 match in the United States; his June 27 status was not a fitness issue but remained unavailable after the intervening game. Other injuries/suspensions: unavailable.,"Group L as of June 21: Ghana 3 pts, GD +1; Croatia 0 pts, GD -2. Ghana still had England and Croatia still had Panama on June 23, so the exact final-round qualification state was unavailable. This fixture could decide a top-two or best-third-place berth, but no precise points requirement was knowable.","Philadelphia Stadium is the open-air Lincoln Financial Field, with a 17:00 local kickoff. Late-June heat and thunderstorms can matter; a reliable match-time forecast was unavailable by the cutoff.",current_snapshot
2026-06-27-col-por,2026-06-27T18:30:00-05:00,2026-06-27T23:30:00Z,COL,POR,1855.0,1989.0,1891.266,1982.417,2,2,6,4,3,5,0.0,0.0,0.0,0.0,4,4,2.75,1.10844,1.67574,0.2463003,0.30506078,0.44863892,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,medium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.tropicanafm.com/2026/jugador-de-la-seleccion-colombia-tuvo-dolorosa-perdida-en-pleno-mundial-juro-hacerte-sentir-orgulloso-468348.html | https://www.nypost.com/2026/06/10/sports/world-cup-2026-group-k-preview-prediction-odds-full-team-overviews/ | https://www.starsandstripesfc.com/copa-america/44201/2026-world-cup-group-k-preview | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide,"Colombia beat Uzbekistan 3-1 in their opener; Portugal drew 1-1 with Congo DR. Colombia midfielder Juan Camilo Portilla suffered a family bereavement during camp, but the cited report did not say he left camp or was unavailable. Both teams had June 23 matches after the cutoff.","No match-specific confirmed injury or suspension for Colombia or Portugal was found by the cutoff. Portilla's bereavement is team news, not an injury, and his availability was unavailable. June 23 cards could create June 27 suspensions, so final suspension status was unavailable.","Group K as of June 21: Colombia 3 pts, GD +2; Portugal 1 pt, GD 0. Colombia still had Congo DR and Portugal had Uzbekistan on June 23, so the exact first-place, qualification and rotation implications for June 27 were unavailable.","Miami Stadium is the open-air Hard Rock Stadium in Miami Gardens, with a 19:30 local kickoff. Heat, humidity and thunderstorms are material risks; a reliable match-time forecast was unavailable by the cutoff.",current_snapshot
2026-06-27-con-uzb,2026-06-27T18:30:00-05:00,2026-06-27T23:30:00Z,COD,UZB,1635.0,1670.0,1644.89,1630.428,2,2,1,0,-1,-7,0.0,0.0,0.0,0.0,4,4,2.75,1.42323,1.3322,0.34867435,0.33429576,0.31702989,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,low,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,No fixture-specific OSINT note was available by the active June 27 cutoff; report uses schedule and verified-result context only.,Unavailable in canonical research files by cutoff.,Knockout or final-round qualification context is inferred only from verified schedule/result sources.,"Atlanta Stadium, Atlanta, Georgia, USA",current_snapshot
2026-06-27-alg-aut,2026-06-27T21:00:00-05:00,2026-06-28T02:00:00Z,ALG,AUT,1772.0,1830.0,1780.329,1841.075,2,2,3,3,-2,0,0.0,0.0,0.0,0.0,5,5,2.75,1.1958,1.57698,0.27442231,0.31633583,0.40924186,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,medium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/17/fifa-world-cup-2026-live-austria-v-jordan-updates-aut-vs-jor-group-j-match-score-latest | https://www.starsandstripesfc.com/fifa-world-cup/44091/2026-world-cup-group-j-preview | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide,"Algeria lost 3-0 to Argentina. Austria beat Jordan 3-1 after the match remained level until the 77th minute. Both had June 22 second matches after the cutoff, so later form, cards and availability were unavailable.",Austria: Christoph Baumgartner was reported before the tournament as missing through injury. Algeria: match-specific confirmed injury information was unavailable. Suspensions for June 27 were unavailable because the June 22 matches had not occurred.,"Group J as of June 21: Austria 3 pts, GD +2; Algeria 0 pts, GD -3. Austria still had Argentina and Algeria had Jordan on June 22, so the exact qualification requirement for this final fixture was unavailable.","Kansas City Stadium is the open-air Arrowhead Stadium, with a 21:00 local kickoff. Late-June heat, humidity and thunderstorms can matter; a reliable match-time forecast was unavailable by the cutoff.",current_snapshot
2026-06-27-jor-arg,2026-06-27T21:00:00-05:00,2026-06-28T02:00:00Z,JOR,ARG,1680.0,2115.0,1632.175,2143.421,2,2,0,6,-3,5,0.0,0.0,0.0,0.0,5,5,2.75,0.41444,2.52727,0.02582966,0.22803026,0.74614007,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/2026/jun/27/how-to-watch-world-cup-colombia-portugal-jordan-argentina,medium,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/match-center | https://www.theguardian.com/football/live/2026/jun/17/fifa-world-cup-2026-live-austria-v-jordan-updates-aut-vs-jor-group-j-match-score-latest | https://www.starsandstripesfc.com/fifa-world-cup/44091/2026-world-cup-group-j-preview | https://www.fourfourtwo.com/team/argentina-world-cup-2026-squad | https://www.theguardian.com/football/2026/jun/01/world-cup-2026-stadium-guide,"Jordan lost 3-1 to Austria but generated four shots on target and Ali Olwan scored the country's first World Cup goal. Argentina beat Algeria 3-0. Both had June 22 second matches after the cutoff, making final-round form and team news unavailable.","Jordan: star striker Yazan Al-Naimat was reported out of the tournament through injury. Argentina: Cristian Romero had carried a recent injury into the squad, but his June 27 availability was unavailable. Suspensions were unavailable because the June 22 matches had not occurred.","Group J as of June 21: Argentina 3 pts, GD +3; Jordan 0 pts, GD -2. Argentina still had Austria and Jordan had Algeria on June 22, so the exact qualification and rotation state for June 27 was unavailable.","Dallas Stadium is AT&T Stadium in Arlington, a retractable-roof, climate-controlled venue, with a 21:00 local kickoff. Roof status and a reliable external forecast were unavailable by the cutoff.",current_snapshot
2026-06-28-zaf-can,2026-06-28T14:00:00-05:00,2026-06-28T19:00:00Z,RSA,CAN,1675.0,1860.0,1690.893,1840.158,3,3,4,4,-1,5,0.0,0.0,0.0,0.0,4,4,2.75,0.95137,1.8546,0.19472719,0.28539952,0.51987329,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14,low,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14,No fixture-specific OSINT note was available by the active June 27 cutoff; report uses schedule and verified-result context only.,Unavailable in canonical research files by cutoff.,Knockout or final-round qualification context is inferred only from verified schedule/result sources.,Venue not verified in available source,current_snapshot
2026-06-29-bra-jpn,2026-06-29T12:00:00-05:00,2026-06-29T17:00:00Z,BRA,JPN,1978.0,1815.0,1995.279,1839.626,3,3,7,5,6,4,0.0,0.0,0.0,0.0,5,4,2.75,1.87324,0.93513,0.52722747,0.283419,0.18935354,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14,low,https://apnews.com/article/35a72baeef527fc815952f9b5997eb14,No fixture-specific OSINT note was available by the active June 27 cutoff; report uses schedule and verified-result context only.,Unavailable in canonical research files by cutoff.,Knockout or final-round qualification context is inferred only from verified schedule/result sources.,Venue not verified in available source,conditional_requires_rerun_after_intervening_matches
2026-06-29-deu-pry,2026-06-29T15:30:00-05:00,2026-06-29T20:30:00Z,GER,PAR,1900.0,1710.0,1886.196,1701.079,3,3,6,4,6,-2,0.0,0.0,0.0,0.0,4,4,2.75,1.95616,0.86326,0.55962983,0.27479547,0.16557469,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.bavarianfootballworks.com/germany-international-soccer/222053/official-germany-to-face-paraguay-in-world-cup-round-of-32,low,https://www.bavarianfootballworks.com/germany-international-soccer/222053/official-germany-to-face-paraguay-in-world-cup-round-of-32,No fixture-specific OSINT note was available by the active June 27 cutoff; report uses schedule and verified-result context only.,Unavailable in canonical research files by cutoff.,Knockout or final-round qualification context is inferred only from verified schedule/result sources.,"Boston Stadium, Foxborough, Massachusetts, USA",conditional_requires_rerun_after_intervening_matches
2026-06-29-nld-mar,2026-06-29T20:00:00-05:00,2026-06-30T01:00:00Z,NED,MAR,1935.0,1830.0,1965.738,1875.317,3,3,7,7,6,3,0.0,0.0,0.0,0.0,4,5,2.75,1.6734,1.1105,0.44770396,0.30532489,0.24697115,wc_team_elo_baseline_june11.csv + deterministic Elo updates from wc_2026_results_through_june26.csv,wc_2026_results_through_june26.csv,https://www.theguardian.com/football/live/2026/jun/27/world-cup-2026-news-live-england-panama-croatia-ghana-colombia-portugal-dr-congo-uzbekistan-live,low,https://www.theguardian.com/football/live/2026/jun/27/world-cup-2026-news-live-england-panama-croatia-ghana-colombia-portugal-dr-congo-uzbekistan-live,No fixture-specific OSINT note was available by the active June 27 cutoff; report uses schedule and verified-result context only.,Unavailable in canonical research files by cutoff.,Knockout or final-round qualification context is inferred only from verified schedule/result sources.,Venue not verified in available source,conditional_requires_rerun_after_intervening_matches
