fixture,date,app,market,selection,odds,notes,source_image
Portugal vs DR Congo,2026-06-17,Betsson/Betano,1X2,POR,1.31,Main market from screenshots; research pending more images,IMG_XXXX (extract next)
England vs Croatia,2026-06-17,Betsson/Betano,1X2 or Handicap,ENG -1,3.80,Table had 3.80; need exact screenshot IMG for verification,IMG_XXXX
Ghana vs Panama,2026-06-17,Betsson/Betano,DC,GHA DC,1.33,From inventory legacy cleaned; verify PNG,IMG_XXXX
Uzbekistan vs Colombia,2026-06-17,Betsson/Betano,1X2,COL,1.45,Pending extract,IMG_XXXX
Czechia vs South Africa,2026-06-18,Betsson/Betano,1X2,CZE,1.65,Pending,IMG_XXXX
Switzerland vs Bosnia and Herzegovina,2026-06-18,Betsson/Betano,1X2,SUI,1.55,Pending,IMG_XXXX
Canada vs Qatar,2026-06-18,Betsson,Handicap,CAN -1,1.87,Verified verbatim from screenshot,IMG_7475.PNG
Mexico vs South Korea,2026-06-18,Betano/Mexico,1X2,Mexico,2.08,Verified from IMG_7477.PNG; O2.5 2.40; BTTS 2.08,IMG_7477.PNG; IMG_7476.PNG; IMG_7478.PNG
United States vs Australia,2026-06-19,Betsson,1X2,USA,1.60,Verified verbatim; Draw 4.20 AUS 5.75; O2.5 1.98,IMG_7480.PNG
Scotland vs Morocco,2026-06-19,Betsson/Betano,1X2,MAR,2.10,Pending extract from screenshots,IMG_XXXX
Brazil vs Haiti,2026-06-19,Betsson,1X2,Brazil,1.12,Verified; boosts visible Vinicius; Draw 11.00 Haiti 19.00; O2.5 1.36 (alt),IMG_7485.PNG; IMG_7486.PNG
Türkiye vs Paraguay,2026-06-20,Betsson/Betano,Over,TUR Over 3.5,3.65,From legacy cleaned inventory (needs fresh PNG verify),IMG_XXXX
Netherlands vs Sweden,2026-06-20,Betsson,Combo,NED + Over 2.5,3.05,Verified boost 2.78->3.05; base 1X2 1.75/3.85/4.90,IMG_7490.PNG; IMG_7491.PNG
Germany vs Ivory Coast,2026-06-20,Betsson/Betano,1X2,GER,1.38,Pending extract,IMG_XXXX
Ecuador vs Curaçao,2026-06-20,Betsson/Betano,1X2,ECU,1.22,Pending,IMG_XXXX
Tunisia vs Japan,2026-06-20,Betsson,1X2,TUN 6.80 Draw 4.25 JPN 1.52,Verified verbatim 1X2 + O2.5 2.05,IMG_7500.PNG
Spain vs Saudi Arabia,2026-06-21,Betsson/Betano,1X2,ESP,1.12,Pending extract,IMG_XXXX
Belgium vs Iran,2026-06-21,Betsson/Betano,1X2,BEL,1.28,Pending,IMG_XXXX
Uruguay vs Cape Verde,2026-06-21,Betsson/Betano,1X2,URU,1.18,Pending,IMG_XXXX
New Zealand vs Egypt,2026-06-21,Betsson/Betano,Handicap,NZ +1,2.38,From legacy cleaned; BTTS 2.20,IMG_XXXX
