team,team_name,elo,as_of,source_url,source_note
ALG,Algeria,1772,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
ARG,Argentina,2115,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
AUS,Australia,1639,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
AUT,Austria,1830,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
BEL,Belgium,1894,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
BIH,Bosnia and Herzegovina,1720,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
BRA,Brazil,1978,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CAN,Canada,1860,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CIV,Ivory Coast,1725,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
COD,Congo DR,1635,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
COL,Colombia,1855,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CPV,Cape Verde,1578,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CRO,Croatia,1825,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CUR,Curacao,1530,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
CZE,Czechia,1795,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
ECU,Ecuador,1795,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
EGY,Egypt,1696,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
ENG,England,2024,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
ESP,Spain,2129,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
FRA,France,2063,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
GER,Germany,1900,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
GHA,Ghana,1710,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
HAI,Haiti,1500,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
IRN,Iran,1720,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
IRQ,Iraq,1607,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
JOR,Jordan,1680,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
JPN,Japan,1815,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
KOR,South Korea,1725,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
KSA,Saudi Arabia,1576,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
MAR,Morocco,1830,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
MEX,Mexico,1790,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
NED,Netherlands,1935,2026-06-11,https://eloratings.net/,"Project June 2026 Elo snapshot; frozen pre-tournament baseline"
